seed,task_name,task_id,num_simulations,time_logprob_ratio,time_logprob_auto,time_logprob_ratio_cumsum,time_logprob_auto_cumsum
0,two_moons,3,10000,"[3.46657467 0.41151166 0.40139413 0.39993191 0.40052342 0.40152049
 0.40499902 0.39765739 0.3964107  0.40155435 0.40152979 0.40265584
 0.40257072 0.40107679 0.40023875 0.49908423 0.46272564 0.43885589
 0.43211174 0.47146988]","[2.92744398 3.00258374 2.69592643 2.74729252 2.72666121 2.78842878
 2.68231773 2.688097   2.84916902 2.90578842 2.73030615 2.77029276
 2.80358362 2.79054403 2.83386183 2.77516294 2.84655571 2.75800443
 2.90522552 2.70163488]","[ 3.46657467  3.87808633  4.27948046  4.67941236  5.07993579  5.48145628
  5.8864553   6.28411269  6.6805234   7.08207774  7.48360753  7.88626337
  8.2888341   8.68991089  9.09014964  9.58923388 10.05195951 10.4908154
 10.92292714 11.39439702]","[ 2.92744398  5.93002772  8.62595415 11.37324667 14.09990788 16.88833666
 19.57065439 22.25875139 25.10792041 28.01370883 30.74401498 33.51430774
 36.31789136 39.10843539 41.94229722 44.71746016 47.56401587 50.32202029
 53.22724581 55.92888069]"
0,two_moons,4,10000,"[3.41706538 0.42181087 0.41108894 0.40171146 0.39587021 0.39635634
 0.39554286 0.39582539 0.39546728 0.40073729 0.40527415 0.44819951
 0.43082166 0.443012   0.43115354 0.48762155 0.43216562 0.42415333
 0.44304514 0.42611623]","[2.72127032 2.72300553 2.70046616 2.72663784 2.8419838  2.70731425
 2.7721076  2.8030169  2.73694825 2.77322435 2.81578946 2.75715542
 2.75147915 2.77230597 2.78706241 2.7160573  2.7128489  2.87258053
 2.7628231  2.75612092]","[ 3.41706538  3.83887625  4.24996519  4.65167665  5.04754686  5.44390321
  5.83944607  6.23527145  6.63073874  7.03147602  7.43675017  7.88494968
  8.31577134  8.75878334  9.18993688  9.67755842 10.10972404 10.53387737
 10.97692251 11.40303874]","[ 2.72127032  5.44427586  8.14474201 10.87137985 13.71336365 16.4206779
 19.1927855  21.9958024  24.73275065 27.50597501 30.32176447 33.07891989
 35.83039904 38.602705   41.38976741 44.10582471 46.81867361 49.69125414
 52.45407724 55.21019816]"
0,two_moons,5,10000,"[4.99742818 0.43349504 0.43500185 0.42751312 0.44488811 0.44538522
 0.43334317 0.44289708 0.42772055 0.4128511  0.41618371 0.41520023
 0.44041348 0.47716784 0.43951774 0.41423821 0.41964555 0.42639971
 0.42836761 0.46941853]","[2.79030442 2.69413328 2.85206223 2.74977875 2.87911105 2.75759053
 2.7618289  2.75356817 2.68493223 2.81115985 2.75464988 2.91309738
 2.71256876 2.78416872 2.63212109 2.69524646 2.75262833 2.68295765
 2.72642851 2.72327971]","[ 4.99742818  5.43092322  5.86592507  6.2934382   6.73832631  7.18371153
  7.6170547   8.05995178  8.48767233  8.90052342  9.31670713  9.73190737
 10.17232084 10.64948869 11.08900642 11.50324464 11.92289019 12.34928989
 12.77765751 13.24707603]","[ 2.79030442  5.4844377   8.33649993 11.08627868 13.96538973 16.72298026
 19.48480916 22.23837733 24.92330956 27.73446941 30.48911929 33.40221667
 36.11478543 38.89895415 41.53107524 44.2263217  46.97895002 49.66190767
 52.38833618 55.1116159 ]"
1,two_moons,3,10000,"[3.56403923 0.43008542 0.41850948 0.41149449 0.41855478 0.4268291
 0.41775966 0.42291045 0.42488217 0.46088099 0.44573283 0.43303704
 0.41893029 0.43398237 0.42459559 0.42167187 0.43818498 0.43952036
 0.43664336 0.43395162]","[2.83010769 2.72275114 2.79205823 2.83729577 2.7616775  2.78822351
 2.67583299 2.77280593 2.76235652 2.69441223 2.76724005 2.81160593
 2.79480886 2.81814528 2.81022549 2.79821968 2.95587039 2.73198271
 2.61578393 2.55370593]","[ 3.56403923  3.99412465  4.41263413  4.82412863  5.24268341  5.66951251
  6.08727217  6.51018262  6.93506479  7.39594579  7.84167862  8.27471566
  8.69364595  9.12762833  9.55222392  9.97389579 10.41208076 10.85160112
 11.28824449 11.7221961 ]","[ 2.83010769  5.55285883  8.34491706 11.18221283 13.94389033 16.73211384
 19.40794683 22.18075275 24.94310927 27.63752151 30.40476155 33.21636748
 36.01117635 38.82932162 41.63954711 44.43776679 47.39363718 50.12561989
 52.74140382 55.29510975]"
1,two_moons,4,10000,"[4.7944808  0.44764686 0.43745232 0.42910242 0.41603589 0.43453884
 0.44847322 0.41856027 0.44090748 0.44976187 0.44768834 0.4306004
 0.42547965 0.43819547 0.41465783 0.4149785  0.42608285 0.43799949
 0.44289017 0.424721  ]","[2.7405479  2.6956439  2.77170944 2.7414844  2.77355623 2.82308149
 2.75606227 2.81420422 2.7162714  2.69856644 2.88308597 2.74412131
 2.80092549 2.71322179 2.80591226 2.79777074 2.60960984 2.55957413
 2.64582682 2.70067048]","[ 4.7944808   5.24212766  5.67957997  6.10868239  6.52471828  6.95925713
  7.40773034  7.82629061  8.26719809  8.71695995  9.16464829  9.5952487
 10.02072835 10.45892382 10.87358165 11.28856015 11.714643   12.15264249
 12.59553266 13.02025366]","[ 2.7405479   5.4361918   8.20790124 10.94938564 13.72294188 16.54602337
 19.30208564 22.11628985 24.83256125 27.53112769 30.41421366 33.15833497
 35.95926046 38.67248225 41.47839451 44.27616525 46.88577509 49.44534922
 52.09117603 54.79184651]"
1,two_moons,5,10000,"[4.77498364 0.47762227 0.43962836 0.46401167 0.44818687 0.41949749
 0.42593193 0.44225311 0.42982912 0.42427802 0.42720938 0.45573616
 0.4383266  0.43097758 0.44918323 0.43082547 0.46174574 0.42620969
 0.43703914 0.41684127]","[2.87227869 2.77062893 2.81577229 2.87240863 2.86813331 2.71772408
 2.95576692 2.72502947 2.66551161 2.71653008 2.83070397 2.84068465
 2.73099995 2.66361237 2.56788611 2.60671186 2.57639599 2.8731091
 2.79101992 2.65026736]","[ 4.77498364  5.25260592  5.69223428  6.15624595  6.60443282  7.02393031
  7.44986224  7.89211535  8.32194448  8.7462225   9.17343187  9.62916803
 10.06749463 10.49847221 10.94765544 11.37848091 11.84022665 12.26643634
 12.70347548 13.12031674]","[ 2.87227869  5.64290762  8.45867991 11.33108854 14.19922185 16.91694593
 19.87271285 22.59774232 25.26325393 27.97978401 30.81048799 33.65117264
 36.38217258 39.04578495 41.61367106 44.22038293 46.79677892 49.66988802
 52.46090794 55.1111753 ]"
2,two_moons,3,10000,"[3.3809371  0.42535448 0.41124296 0.43031287 0.42710423 0.43460751
 0.40808964 0.4347558  0.4402492  0.42656302 0.47252274 0.40619278
 0.43458724 0.42504025 0.42526746 0.44408798 0.43108034 0.41679764
 0.41025734 0.42235494]","[2.76494288 2.76444125 3.05257368 2.77200675 2.7736938  2.86774707
 2.81037712 2.84047604 2.71936917 2.79205489 2.71515942 2.79001093
 2.79196501 2.61686778 2.6006546  2.56112909 2.73311114 2.85397196
 2.68791771 2.76782775]","[ 3.3809371   3.80629158  4.21753454  4.64784741  5.07495165  5.50955915
  5.91764879  6.35240459  6.7926538   7.21921682  7.69173956  8.09793234
  8.53251958  8.95755982  9.38282728  9.82691526 10.25799561 10.67479324
 11.08505058 11.50740552]","[ 2.76494288  5.52938414  8.58195782 11.35396457 14.12765837 16.99540544
 19.80578256 22.64625859 25.36562777 28.15768266 30.87284207 33.662853
 36.45481801 39.07168579 41.67234039 44.23346949 46.96658063 49.82055259
 52.5084703  55.27629805]"
2,two_moons,4,10000,"[3.53360868 0.43550038 0.44290924 0.46824813 0.44162655 0.42315388
 0.41341186 0.41994667 0.42366529 0.46574688 0.43256712 0.42519116
 0.46018243 0.421314   0.45195675 0.41729665 0.43710303 0.42766809
 0.41296959 0.4309988 ]","[2.7309351  2.8421874  2.73300767 2.65179253 2.79732251 2.77092791
 2.66658831 2.75185657 2.69359446 2.692909   2.75891042 2.69533753
 2.75640488 2.58468843 2.54671025 2.72566628 2.91309404 2.64517307
 2.73114133 2.77302742]","[ 3.53360868  3.96910906  4.4120183   4.88026643  5.32189298  5.74504685
  6.15845871  6.57840538  7.00207067  7.46781754  7.90038466  8.32557583
  8.78575826  9.20707226  9.65902901 10.07632565 10.51342869 10.94109678
 11.35406637 11.78506517]","[ 2.7309351   5.5731225   8.30613017 10.9579227  13.75524521 16.52617311
 19.19276142 21.94461799 24.63821244 27.33112144 30.09003186 32.7853694
 35.54177427 38.1264627  40.67317295 43.39883924 46.31193328 48.95710635
 51.68824768 54.4612751 ]"
2,two_moons,5,10000,"[4.98242021 0.4258256  0.44001698 0.41717386 0.42958999 0.42238069
 0.43401527 0.45073438 0.42858338 0.4500258  0.43218327 0.42988539
 0.4417882  0.42704439 0.46100497 0.4131186  0.42616391 0.43374848
 0.44911861 0.44995928]","[2.74388599 2.78965235 2.76537037 2.71877384 2.79208636 2.63320756
 2.82428312 2.64621139 2.78085256 2.7486341  2.80737758 2.60549831
 2.62580156 2.57406235 3.02372289 2.78658056 2.62309909 2.67441201
 2.88527918 2.64046144]","[ 4.98242021  5.4082458   5.84826279  6.26543665  6.69502664  7.11740732
  7.5514226   8.00215697  8.43074036  8.88076615  9.31294942  9.74283481
 10.184623   10.61166739 11.07267237 11.48579097 11.91195488 12.34570336
 12.79482198 13.24478126]","[ 2.74388599  5.53353834  8.29890871 11.01768255 13.80976892 16.44297647
 19.2672596  21.91347098 24.69432354 27.44295764 30.25033522 32.85583353
 35.48163509 38.05569744 41.07942033 43.86600089 46.48909998 49.16351199
 52.04879117 54.68925261]"
3,two_moons,3,10000,"[3.41534305 0.4436841  0.43016553 0.42538643 0.42434001 0.41323137
 0.43807507 0.42337871 0.43348956 0.45619273 0.42719793 0.46666336
 0.42392969 0.41751313 0.4260273  0.43213129 0.4287312  0.4296484
 0.42378044 0.41296554]","[2.76174092 2.72080064 2.69948435 2.69409585 2.80294394 2.73728633
 2.79749227 2.80787992 2.76102543 2.84612989 2.84041095 2.67169309
 2.5786953  2.65042663 2.82511854 2.7237227  3.00584579 2.90448809
 2.88771939 2.6962769 ]","[ 3.41534305  3.85902715  4.28919268  4.71457911  5.13891912  5.55215049
  5.99022555  6.41360426  6.84709382  7.30328655  7.73048449  8.19714785
  8.62107754  9.03859067  9.46461797  9.89674926 10.32548046 10.75512886
 11.1789093  11.59187484]","[ 2.76174092  5.48254156  8.18202591 10.87612176 13.6790657  16.41635203
 19.2138443  22.02172422 24.78274965 27.62887955 30.46929049 33.14098358
 35.71967888 38.3701055  41.19522405 43.91894674 46.92479253 49.82928061
 52.71700001 55.41327691]"
