method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
npe,nsf,none,flexible_linear,100,0,18ab1af3-366a-4275-baef-1de39ca305e5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8148, 0.7150999999999998, 0.76935, 0.86995, 0.81745, 0.81365, 0.7586, 0.8074, 0.79925, 0.8564]",4.198335409164429,0.1172027349472046,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'normal', 'noise_dist': 'normal', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,95c7fb2b-9dd6-4208-b1b1-3a21982efef3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8542, 0.84895, 0.88995, 0.87385, 0.85465, 0.83525, 0.8558, 0.84945, 0.8795, 0.9025500000000001]",1.5569615364074707,0.1148951292037963,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'laplace', 'noise_dist': 'laplace', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,02ff8e7c-f2de-4304-a20e-152c75d36786,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.95495, 0.85635, 0.8327500000000001, 0.81695, 0.843, 0.89245, 0.8691000000000001, 0.8214499999999999, 0.9979500000000001, 0.83995]",3.431272506713867,0.1127051591873169,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'studentt', 'noise_dist': 'logitnormal', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,afd5b3e6-42b1-416a-ad58-cca8fd37239b,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8080999999999999, 0.7882, 0.8549, 0.8203000000000001, 0.8118000000000001, 0.77795, 0.79355, 0.79135, 0.834, 0.8604]",1.168102502822876,0.1001492977142333,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'laplace', 'noise_dist': 'logistic', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,1ee0492e-7658-491e-ac40-5247d1f91929,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7373000000000001, 0.66175, 0.72635, 0.70885, 0.6667, 0.71675, 0.7452500000000001, 0.7664, 0.6986000000000001, 0.7784500000000001]",3.116671085357666,0.1178287506103515,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'normal', 'noise_dist': 'logistic', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,8557b91d-0d52-41ea-822c-831de1d12ec3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7755500000000001, 0.7765000000000001, 0.7697, 0.76945, 0.8019000000000001, 0.7997, 0.7857500000000001, 0.77055, 0.80945, 0.77675]",3.5556833744049072,0.1121837139129638,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'studentt', 'noise_dist': 'cauchy', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,be65ad94-3482-45eb-b79b-c74cf7fd7069,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6978, 0.6494500000000001, 0.6764, 0.672, 0.6615, 0.6784500000000001, 0.6577, 0.70375, 0.6727, 0.6745499999999999]",1.564345359802246,0.1251485109329223,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'logitnormal', 'noise_dist': 'laplace', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,1e06ed86-98b9-413a-b673-8c3b435211ed,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.78875, 0.8582000000000001, 0.8185499999999999, 0.8224, 0.79, 0.8421, 0.7644, 0.8096499999999999, 0.84665, 0.75765]",5.4245429039001465,0.1167759656906128,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'studentt', 'noise_dist': 'studentt', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,600ba13c-aab4-4c2c-a5ec-9465170a5220,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8164999999999999, 0.73295, 0.7712, 0.7086, 0.7516999999999999, 0.7397, 0.76005, 0.8187, 0.78255, 0.727]",3.60554575920105,0.1082144021987915,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'studentt', 'noise_dist': 'logistic', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,3794ff0d-f700-4b6a-b10e-51621d288461,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.85655, 0.79335, 0.8132999999999999, 0.7832999999999999, 0.81075, 0.80145, 0.80885, 0.8471, 0.8393, 0.7761000000000001]",3.5060014724731445,0.108579134941101,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'studentt', 'noise_dist': 'laplace', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,flexible_linear,100,0,4b1d2919-026e-45bb-971d-52f294d31ef8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7357500000000001, 0.7463500000000001, 0.93215, 0.7804, 0.8057000000000001, 0.7614000000000001, 0.7073, 0.76545, 0.76375, 0.7391500000000001]",2.107121467590332,0.1171018600463867,"{'name': 'noise', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'flexible_linear', 'num_simulations': 100, 'params': {'feature_dist': 'normal', 'noise_dist': 'cauchy', 'feature_scale': 1.0, 'noise_scale': 1.0, 'dim': 5, 'mcmc_cfg': {'n_samples_mcmc': 10000, 'n_tune': 2000, 'chains': 4, 'cores': 4}}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
