method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
npe,nsf,none,misspecified_prior,100,0,2f2d977e-bba6-4400-8853-f479610870ed,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.9153500000000001, 0.85185, 0.8714999999999999, 0.9759, 0.88745, 0.8798999999999999, 0.9156000000000001, 0.9097500000000001, 0.9130499999999999, 0.8548]",1.4268529415130615,0.0600579500198364,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 0, 'tau_m': 0.05}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_likelihood,100,0,14c234f8-db31-41fd-a30c-50e80512e307,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8131499999999999, 0.8252499999999999, 0.7800499999999999, 0.82835, 0.7761500000000001, 0.8913, 0.7545999999999999, 0.78105, 0.9129999999999999, 0.88635]",3.8230230808258057,0.0747653245925903,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.05, 'lambda_val': 0}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_likelihood,100,0,cf64f271-a3ba-42a1-897a-f4fcec24fd37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8816, 0.876, 0.86745, 0.8841000000000001, 0.867, 0.9134, 0.8654999999999999, 0.8760999999999999, 0.9148999999999999, 0.9270000000000002]",0.0011835098266601,3.21397352218628,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.05, 'lambda_val': 0}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_prior,100,0,bbb1061f-0ec1-4624-a865-56bb4f2dc1b8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.9305999999999999, 0.8603500000000001, 0.89255, 0.97995, 0.8979000000000001, 0.8910500000000001, 0.9225999999999999, 0.9245000000000001, 0.9264999999999999, 0.8578499999999998]",0.0006330013275146,3.159255719184876,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 0, 'tau_m': 0.05}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_prior,100,0,cf112386-3ce7-4757-88fb-ad76f6547d92,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7175, 0.61865, 0.6715499999999999, 0.7702000000000001, 0.6235, 0.5885999999999999, 0.6928000000000001, 0.6795, 0.76325, 0.60365]",1.807854175567627,0.0605137109756469,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 0, 'tau_m': 0.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_likelihood,100,0,615e2c1e-6d50-44b8-9608-8070a65addb0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7302000000000001, 0.75065, 0.7182999999999999, 0.74995, 0.7017999999999999, 0.8086500000000001, 0.6993499999999999, 0.7206, 0.8508999999999999, 0.8191499999999999]",3.707989454269409,0.0831784963607788,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.1, 'lambda_val': 0}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_likelihood,100,0,c7cb2e42-4e8e-4574-9a25-ced6f910a4db,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8119499999999998, 0.8064, 0.7979999999999999, 0.81375, 0.7919, 0.8551, 0.79355, 0.7984, 0.8615, 0.87415]",0.0012476444244384,3.1700237512588503,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.1, 'lambda_val': 0}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_prior,100,0,ad725a72-d18a-4a7f-a425-224afa9b321e,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.70805, 0.6224000000000001, 0.6693499999999999, 0.7476, 0.6513000000000001, 0.6103, 0.6769000000000001, 0.6783000000000001, 0.74455, 0.5963999999999999]",0.0006213188171386,3.146596550941468,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 0, 'tau_m': 0.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_prior,100,0,9d5bb0ec-b18a-4fd4-bbb1-e6cda9c358e7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6811, 0.64085, 0.66225, 0.68555, 0.6257499999999999, 0.62225, 0.66905, 0.6619999999999999, 0.72915, 0.6284500000000001]",2.0291178226470947,0.0656616449356079,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 0, 'tau_m': 1}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_likelihood,100,0,5e6208d4-e07d-4132-9408-660e1ede50a5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.57655, 0.63905, 0.61265, 0.5835999999999999, 0.57345, 0.6438499999999999, 0.6014, 0.61865, 0.63605, 0.6901]",2.552057266235352,0.0729023933410644,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.5, 'lambda_val': 0}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
