method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
filtered_tabpfn,none,none,simple_nonlinear,100,0,87b4011c-1e92-4fb9-a37b-c814dfdcc09e,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6037000000000001, 0.628, 0.5881000000000001, 0.6277000000000001, 0.62785, 0.61665, 0.60405, 0.5908, 0.6260999999999999, 0.59125]",0.0542628765106201,25.428373646736144,"{'name': 'ordering', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 100, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,100,2,b14dc461-91c4-44c6-bede-86ea5287c1af,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5925, 0.5747, 0.60885, 0.63625, 0.5864, 0.59515, 0.5773999999999999, 0.61295, 0.5763499999999999, 0.5812999999999999]",0.0768957138061523,26.1279577255249,"{'name': 'ordering', 'seed': 2, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 100, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,100,1,e8b7321a-3b61-47db-840b-19551d1552ac,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5707500000000001, 0.5821500000000001, 0.5653499999999999, 0.64615, 0.5850500000000001, 0.5665, 0.58445, 0.5637000000000001, 0.59555, 0.5977]",0.0761294364929199,27.892506742477416,"{'name': 'ordering', 'seed': 1, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 100, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,1000,1,6636f2c5-76d5-469b-a80b-5080f8e2586c,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.52545, 0.53095, 0.5148499999999999, 0.56835, 0.5261500000000001, 0.5332000000000001, 0.531, 0.526, 0.5255000000000001, 0.5323499999999999]",0.5915811061859131,29.2171138048172,"{'name': 'ordering', 'seed': 1, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 1000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,1000,2,e155794e-8224-408a-98c5-35d2b1fb6ac0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5158500000000001, 0.52145, 0.5251, 0.53815, 0.5243, 0.5262, 0.5271, 0.52005, 0.52405, 0.52295]",0.5908322334289551,28.241931080818176,"{'name': 'ordering', 'seed': 2, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 1000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,1000,0,3cd989fd-2775-4a59-8ea2-e72968942c2d,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5133, 0.5506, 0.5272, 0.5365, 0.5174999999999998, 0.5136000000000001, 0.5221, 0.51905, 0.51855, 0.5176999999999999]",0.582542896270752,29.957560324668883,"{'name': 'ordering', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 1000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,10000,1,bbcb1dd5-3859-44dd-b033-9f9bc9871a9b,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5062, 0.5116999999999999, 0.50515, 0.54565, 0.5172000000000001, 0.5092000000000001, 0.5182, 0.512, 0.5171, 0.5222]",5.765831232070923,47.26311285495758,"{'name': 'ordering', 'seed': 1, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 10000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,10000,0,03bc1547-8014-47e4-b04e-3a6003caa64f,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5004000000000001, 0.5279, 0.514, 0.5087999999999999, 0.51715, 0.51465, 0.51435, 0.5091499999999999, 0.5113000000000001, 0.5115000000000001]",5.746838092803955,48.38170840740204,"{'name': 'ordering', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 10000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,10000,2,7b4d0076-affc-4678-a064-81670613ded6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.5055499999999999, 0.5073, 0.5105999999999999, 0.5189499999999999, 0.5156499999999999, 0.51535, 0.51, 0.5116499999999999, 0.5110999999999999, 0.5119499999999999]",5.777623891830444,49.85086109638214,"{'name': 'ordering', 'seed': 2, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 10000, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [0, 1, 2, 3]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,simple_nonlinear,100,0,147daeac-c658-499e-ad97-ad4c2e4f7d73,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6069000000000001, 0.64105, 0.5905, 0.62295, 0.63025, 0.61555, 0.6055, 0.5940000000000001, 0.62565, 0.59685]",0.0542812347412109,25.41923263072968,"{'name': 'ordering', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': True, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'simple_nonlinear', 'num_simulations': 100, 'params': {'n_input_dim': 2, 'n_output_dim': 4, 'permutation': [3, 1, 0, 2]}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'sweeper': {'name': None, 'objective': None}}"
