method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
nre,mlp,none,gaussian_mixture,100,0,eed91fcf-8c66-4f82-8a9e-3feb4fced7cc,[-1],sbc,"[94, 69, 98, 81, 93, 100, 97, 71, 98, 100, 94, 93, 94, 99, 25, 98, 14, 95, 69, 82, 98, 98, 99, 84, 100, 69, 16, 84, 74, 96, 52, 55, 74, 89, 100, 100, 98, 97, 93, 86, 60, 100, 78, 37, 83, 97, 31, 97, 98, 100, 98, 81, 98, 43, 77, 97, 70, 97, 98, 63, 99, 27, 91, 58, 98, 30, 96, 16, 100, 94, 94, 91, 100, 100, 99, 88, 99, 69, 61, 43, 100, 97, 93, 34, 99, 8, 61, 39, 38, 62, 51, 99, 96, 94, 40, 34, 91, 97, 60, 36]",3.710292816162109,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 100, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,gaussian_mixture,1000,0,f8e957fc-836e-4888-a5a5-db700bf05b01,[-1],sbc,"[97, 71, 97, 96, 100, 97, 94, 59, 92, 97, 96, 97, 98, 100, 37, 84, 24, 100, 80, 72, 96, 99, 100, 80, 99, 69, 10, 45, 69, 98, 58, 80, 58, 80, 100, 100, 100, 95, 96, 96, 83, 100, 81, 29, 75, 94, 18, 99, 96, 95, 100, 66, 98, 30, 69, 98, 49, 100, 97, 56, 100, 24, 85, 46, 94, 35, 99, 6, 99, 95, 99, 96, 98, 99, 100, 76, 93, 82, 67, 34, 95, 99, 100, 15, 98, 18, 69, 60, 31, 55, 39, 94, 98, 90, 31, 31, 88, 86, 34, 63]",4.089201211929321,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,gaussian_mixture,10000,0,ba1b8169-4ce4-4d6e-9f79-5268d45d16b5,[-1],sbc,"[97, 42, 100, 95, 99, 83, 85, 36, 97, 100, 86, 92, 93, 99, 19, 93, 8, 95, 49, 60, 84, 92, 85, 83, 93, 44, 5, 24, 49, 99, 18, 57, 29, 83, 100, 100, 99, 95, 94, 94, 52, 94, 75, 5, 25, 83, 4, 97, 98, 98, 100, 38, 100, 20, 59, 77, 43, 96, 90, 23, 91, 12, 65, 21, 81, 18, 93, 3, 98, 92, 99, 87, 100, 84, 99, 65, 96, 81, 62, 24, 100, 99, 97, 10, 95, 5, 40, 22, 21, 40, 22, 90, 94, 76, 3, 25, 87, 82, 20, 23]",20.81295418739319,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,two_moons,1000,0,a9367df9-0f55-4a5f-96c4-56e855322439,[-1],sbc,"[30, 73, 97, 20, 52, 71, 51, 57, 70, 44, 46, 83, 89, 40, 18, 31, 69, 45, 72, 92, 72, 51, 32, 69, 28, 55, 32, 71, 71, 45, 55, 39, 90, 53, 67, 26, 85, 80, 72, 16, 56, 86, 87, 94, 90, 71, 36, 40, 79, 64, 53, 66, 50, 33, 57, 85, 93, 44, 82, 68, 76, 47, 33, 45, 23, 95, 65, 26, 78, 75, 46, 89, 70, 100, 63, 36, 53, 81, 96, 76, 75, 61, 51, 37, 95, 23, 60, 52, 67, 70, 40, 73, 89, 54, 44, 81, 67, 60, 75, 53]",7.751219987869263,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,two_moons,100,0,52b0e135-a89d-4ddf-8e6b-d592752b4116,[-1],sbc,"[47, 69, 93, 9, 90, 59, 30, 64, 50, 72, 53, 97, 62, 75, 18, 43, 50, 36, 48, 97, 62, 43, 9, 99, 88, 36, 42, 77, 78, 17, 99, 18, 79, 40, 27, 50, 76, 88, 56, 47, 80, 63, 70, 95, 83, 87, 32, 60, 65, 85, 46, 39, 67, 56, 82, 63, 63, 35, 100, 21, 57, 39, 4, 59, 32, 96, 36, 9, 36, 83, 89, 75, 89, 69, 86, 25, 71, 44, 50, 74, 95, 45, 65, 41, 76, 13, 71, 31, 61, 85, 65, 30, 80, 86, 43, 54, 99, 52, 34, 33]",4.113621711730957,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 100, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,two_moons,10000,0,feb80d1e-2ce8-49a4-a25a-db00c3113606,[-1],sbc,"[23, 63, 74, 24, 44, 62, 84, 58, 86, 30, 42, 48, 66, 73, 16, 35, 51, 56, 77, 72, 47, 63, 45, 70, 28, 25, 18, 68, 70, 38, 72, 21, 83, 81, 68, 12, 47, 96, 79, 26, 43, 82, 79, 52, 53, 54, 34, 44, 58, 52, 54, 45, 57, 28, 50, 80, 35, 56, 60, 84, 31, 47, 83, 54, 56, 68, 25, 21, 60, 70, 46, 69, 75, 74, 89, 25, 57, 40, 34, 47, 41, 58, 27, 96, 87, 36, 58, 76, 79, 31, 48, 68, 96, 89, 82, 78, 19, 27, 63, 100]",47.17597079277039,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,gaussian_mixture,100000,0,81378e60-5d7b-4f95-baa6-7057b3f7c4fc,[-1],sbc,"[99, 48, 98, 90, 96, 95, 86, 68, 98, 100, 94, 93, 96, 98, 14, 90, 8, 97, 65, 41, 99, 91, 99, 88, 95, 43, 7, 41, 59, 97, 35, 64, 33, 70, 99, 100, 95, 96, 91, 81, 52, 96, 84, 16, 50, 96, 6, 94, 96, 96, 100, 36, 100, 51, 56, 92, 43, 97, 91, 28, 98, 26, 85, 24, 98, 23, 93, 2, 97, 98, 88, 88, 100, 97, 100, 69, 97, 85, 50, 21, 98, 100, 93, 8, 100, 3, 61, 19, 15, 65, 22, 94, 94, 91, 5, 18, 95, 86, 23, 29]",179.31240510940552,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 100000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,two_moons,100000,0,9a8ab4cc-96ae-42b8-b674-9628536649ae,[-1],sbc,"[56, 48, 47, 98, 79, 88, 83, 66, 80, 72, 95, 49, 59, 83, 14, 75, 49, 59, 81, 74, 35, 57, 47, 90, 83, 53, 43, 77, 78, 79, 78, 53, 74, 48, 59, 17, 77, 49, 74, 92, 66, 60, 45, 92, 27, 85, 80, 96, 50, 34, 99, 87, 83, 86, 65, 67, 74, 68, 54, 86, 9, 83, 100, 86, 28, 31, 71, 86, 57, 66, 59, 69, 64, 88, 88, 56, 98, 77, 19, 72, 43, 97, 87, 53, 66, 94, 99, 47, 54, 47, 60, 54, 60, 77, 86, 57, 69, 76, 89, 50]",256.0652754306793,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 100000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nle,maf,none,two_moons,1000,0,59a733e1-bbe6-4698-b747-aa79f147bdc5,[-1],sbc,"[25, 53, 90, 34, 47, 9, 33, 27, 24, 38, 41, 38, 67, 70, 11, 49, 61, 7, 35, 6, 45, 22, 21, 93, 95, 28, 32, 56, 40, 39, 50, 44, 53, 6, 60, 19, 40, 49, 54, 42, 60, 54, 96, 72, 3, 42, 81, 40, 91, 96, 30, 21, 31, 80, 47, 59, 83, 29, 72, 35, 80, 50, 96, 26, 12, 88, 28, 3, 2, 81, 62, 96, 30, 80, 52, 25, 79, 16, 4, 55, 79, 23, 49, 71, 63, 17, 43, 6, 57, 32, 6, 32, 46, 62, 44, 11, 97, 83, 24, 18]",14.018824100494385,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
nle,maf,none,gaussian_mixture,1000,0,239c0234-1546-44bd-b3cd-a098f660e424,[-1],sbc,"[99, 12, 100, 100, 86, 100, 83, 46, 99, 93, 95, 97, 95, 85, 26, 80, 2, 94, 59, 12, 100, 91, 90, 90, 97, 30, 21, 14, 84, 97, 38, 74, 31, 82, 98, 97, 98, 97, 91, 83, 72, 99, 55, 21, 24, 82, 4, 87, 96, 79, 92, 11, 99, 66, 63, 99, 62, 97, 98, 18, 97, 25, 54, 11, 100, 21, 99, 10, 98, 89, 77, 81, 89, 93, 98, 64, 100, 86, 57, 3, 96, 99, 96, 4, 98, 7, 38, 5, 19, 81, 10, 97, 97, 77, 1, 16, 90, 93, 0, 16]",6.122739553451538,,"{'name': 'sbibm_sbc', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['sbc'], 'num_sbc_samples': 100, 'num_posterior_samples': 100, 'observation_ids': [-1]}, 'sweeper': {'name': None, 'objective': None}}"
